Wyniki dla SIZE_OF_MAP = 15 NUMBER_OF_NODES = 75 NUMBER_OF_CONNECTIONS = 75
Czas dijkstra 	 czas A* 	 odleglosc dijkstra 	 odleglosc A*
0	0	2800	2800
0	0	110	172
0	0	62	84
0	0	52	52
0	0	2800	2800
0	0	2800	2800
0	0	70	80
0	0	44	44
0	0	52	52
0	0	2800	2800
0	0	28	28
0	0	2800	2800
0	0	44	54
0	0	30	46
0	0	82	88
0	0	2800	2800
0	0	28	28
0	0	2800	2800
0	0	70	112
0	0	56	110
0	0	62	64
0	0	80	120
0	0	2800	2800
0	0	2800	2800
0	0	28	28
0	0	42	42
0	0	68	72
0	0	88	90
0	0	68	68
0	0	58	70
0	0	68	102
0.0010000000000000000208	0	54	82
0	0	50	50
0	0	32	32
0	0	2800	2800
0	0	80	140
0	0	2800	2800
0	0	100	104
0	0	118	118
0	0	2800	2800
0	0	70	140
0	0	50	52
0	0	70	72
0	0	110	156
0	0	2800	2800
0	0	48	48
0	0	2800	2800
0	0	56	64
0	0	2800	2800
0	0	2800	2800
